external_id,name,address,latitude,longitude
SRC03_P3954,성주데이케어센터,"서울특별시 양천구 월정로 145, 4,5층 (신월동)",,
SRC03_P3956,행복한동행재가복지센터,"서울특별시 영등포구 경인로 706, 지1중1층 (문래동1가)",,
SRC03_P3970,문화촌데이케어센터,"서울특별시 서대문구 세검정로 95, 2,3,4층 (홍제동)",,
SRC03_X0591,사단법인나눔과보람복지회양천재가노인복지센터,"서울특별시 양천구 목동로23길 34205호 (신정동, 양천시장주상복합)",,
SRC03_Z6502,에이스복지센터,"서울특별시 은평구 통일로65길 26, 4~5층 (대조동)",,
SRC03_Z6565,(주)휴복지법인 주간보호센터,"서울특별시 강북구 4.19로13길 3, 2,3층 (수유동)",,
SRC04_C0423,조은세상,"서울특별시 중랑구 동일로140길 15, 2~3 좌측층 (중화동)",,
SRC04_C1081,열림일터,서울특별시 강서구 화곡동 958번지 13호,,
SRC04_C8091,드림장애인보호작업장,"서울특별시 양천구 지양로 7, 202b01b02호 (신월동)",,
SRC04_C8258,함재보호작업장,"서울특별시 송파구 송파대로 412, 1~4층 (송파동)",,
SRC04_C9567,강남세움근로사업장 굿윌스토어,"서울특별시 강남구 광평로60길 22, 1,3층 (수서동)",,
SRC04_F04665,소담,서울특별시 중랑구 상봉로 695층 (면목동),,
SRC04_F14035,다가옴,서울특별시 강동구 고덕로 106201호 (암사동),,
SRC07_08120eaf57525dae,계양사회복지관,아니지로 517(서운동),,
SRC07_80a4d9bf8f7c4124,내일을여는자활쉼터,경명대로1029-35(계산동),,
SRC07_7d94b3eda19de6f7,송림공동생활가정,"송림로 50, 2-406(송림동, 삼익A)",,
SRC07_267c1509f54b7e3e,기분좋은그룹홈3,"인하로 294번길 8,201호(관교동)",,
SRC07_90a491f1028a2da6,예그리나공동생활가정1,"경인로 395, 4-403(주안동, 현대A)",,
SRC07_252261315ed58f98,예림공동생활가정1,"체육관로 111,415-1505",,
SRC07_18ddc274aeef022a,예림공동생활가정2,"체육관로 111,415-1406",,
SRC07_83873d6399afdca1,예림공동생활가정3,"체육관로 111,412-906",,
SRC07_a7e5979b9d4a6eec,예림공동생활가정4,"체육관로 111,406-201",,
SRC07_a67ae1030b56fb88,예림공동생활가정5,"체육관로 111,415-1109",,
SRC07_3998cd109b9b04d2,섬나공동생활가정3,"장기서로 16번길 13,101-101",,
SRC07_516ba3ec947ec4cc,인천광역시 피해장애인쉼터,비공개,,
SRC07_ab6da429fa996357,인천광역시 피해장애아동쉼터(남아),비공개,,
SRC07_0da0b8d7de9307a3,인천광역시 피해장애아동쉼터(여아),비공개,,
SRC07_46d2afca310c0b5b,굿프랜드,경인로 701-26,,
SRC07_d4624391e9fed1e6,아이드림,경인로769-27,,
SRC07_1bde7953e0498638,계양디딤보호작업장,"계양천서로 15, 101/103호, 2층호",,
SRC07_e091114ad0cf3809,인정재활관,서달로 123번안길 24,,
SRC07_38af06b2cb6468d6,호인세상,서달로 123번안길 24(석남동),,
SRC07_bd415899f6d120f3,인천신장장애인주간보호센터,"미추홀대로 716(주안동,메인프라자)207호",,
SRC07_d4af52ab098f59bf,인천광역시학대피해노인전용쉼터,비공개,,
SRC07_a3d706567afc73ea,나무그늘,비공개,,
SRC07_60fa2b514cf1de89,푸른희망담쟁이,비공개,,
SRC07_40f0428fac6d94dc,오내친구장애인성폭력상담소,"부평대로 137-10, 107/101",,
SRC07_41e698efcfa5f69f,소소,비공개,,
SRC07_d72a7361dc8abc8e,울랄라,비공개,,
SRC07_67e157cf362ec1a3,초록담쟁이,비공개,,
SRC07_513a67db044751d0,하늘담쟁이,비공개,,
SRC07_e0dd2f007655950a,언니네,비공개,,
SRC07_86f8b15612b1c4c8,내일을여는집 내일여성쉼터,비공개,,
SRC07_b6302ef26f2fe2ca,민들레공부방,"화수로38, 7-105(송현동, 동부아파트)",,
SRC07_924567ae5862e5ea,위즈키즈,"먼우금로 302, 101-102(연수동 534)",,
SRC07_6d51415afac2d946,인천행복한돌봄계양,"봉오대로 698번길 11, 2~3층 (작전1동 870-62)",,
SRC07_0f8f2f41855d9e26,청운,"안남로 573번길 26, 401~404호 (효성1동 33-2)",,
SRC07_6660a557417a6b6e,소양,"장제로997번길 2, 2~3층(박촌동)",,
SRC07_34dd4785d209f638,청학동 다함께돌봄센터,연수구 청학로 비류대로 287,,
SRC07_fb3f58eee7e4284d,늘해랑,비공개,,
SRC07_491c7c00075d6b4a,레인보우,비공개,,
SRC07_16f725c4fe412c44,꿈나래,비공개,,
SRC07_1986097d3abaaa81,홀트미추홀,비공개,,
SRC07_1683861d17c2c73d,도토리,비공개,,
SRC07_eb1fa61ea83d8768,서로이음,비공개,,
SRC07_9995bb84f475576f,서동이,비공개,,
SRC07_7a478e21a69821f9,여자청소년 자립지원관 행복자리,문화로 167번길 40-17 301호,,
SRC07_7c2ea7d2c543044b,은혜주택,비공개,,
SRC07_79d76c66f4217f8c,꿈의둥지,"소성로 318번길 8-26, 302호",,
SRC09_178b9af6e16fc81f,남동아동,"남동구 독곡로 16번길 22-7, 301,302,401(서창동,독곡홈타운)",,
SRC11_a3c2f55dd1951d75,혜림종합복지관,전라남도 담양군 금성면 새덕굴길 317,,
SRC11_32ed615627486c6f,혜림주간보호센터,전라남도 담양군 금성면 새덕굴길 317,,
SRC11_0d73126e25c256cc,전남영암군장애인편의증진기술지원센터,전라남도 영암군 영암읍 1527,,
SRC20_ae47c0b5f3f6a87a,무안노인 복지시설,해제면 현해로  1452-8,,
SRC20_0a1197b969d7a05a,영광효사랑 노인복지센터,법성면 연우로 830,,
