userid	stay_id	checkintime	leaving_datetime	dwell_minutes	longitude	latitude	cluster	venueid	venuetype	x	y
2	2_stay_0005	2026-08-01 13:40:56+09:00	2026-08-01 15:45:23+09:00	124.45	126.70577898876434	37.52699231964641	1	2_venue_001	unknown	929823.4382842398	1947817.2133808814
2	2_stay_0006	2026-08-01 15:48:47+09:00	2026-08-01 17:03:57+09:00	75.16666666666667	126.705630493904	37.5270403221689	1	2_venue_001	unknown	929810.362190001	1947822.6498731403
2	2_stay_0007	2026-08-01 19:53:14+09:00	2026-08-02 10:17:15+09:00	864.0166666666667	126.62435766018405	37.526751187223056	3	2_venue_003	unknown	922628.7441958473	1947854.3266656138
2	2_stay_0008	2026-08-02 11:24:19+09:00	2026-08-02 12:35:50+09:00	71.51666666666667	126.7056287644692	37.52707450647	1	2_venue_001	unknown	929810.241408241	1947826.4437728378
2	2_stay_0009	2026-08-02 15:42:08+09:00	2026-08-02 17:35:17+09:00	113.15	126.7055489451754	37.527276928480035	1	2_venue_001	unknown	929803.3782420402	1947848.9612418571
2	2_stay_0010	2026-08-02 18:27:15+09:00	2026-08-02 20:20:39+09:00	113.4	126.70559538309354	37.52679992464121	1	2_venue_001	unknown	929807.034515627	1947796.0049494847
3	3_stay_0001	2026-07-30 10:31:12+09:00	2026-07-30 12:11:29+09:00	100.28333333333333	127.1060417825396	36.82067988609058	6	3_venue_006	unknown	964864.9253616396	1869237.4811530893
3	3_stay_0002	2026-07-30 12:49:03.501000+09:00	2026-07-30 14:48:50.555000+09:00	119.78423333333333	127.10682452122936	36.82049717065992	2	3_venue_002	unknown	964934.6506883414	1869216.9250281597
3	3_stay_0003	2026-07-30 20:08:36.026000+09:00	2026-07-30 21:05:07.020000+09:00	56.51656666666667	127.1053967029071	36.82118590232963	1	3_venue_001	unknown	964807.625516989	1869293.8511357948
3	3_stay_0004	2026-07-30 21:21:04+09:00	2026-07-30 22:41:18.720000+09:00	80.24533333333333	127.1053715641372	36.82120000191656	1	3_venue_001	unknown	964805.3899825165	1869295.4244666374
3	3_stay_0005	2026-07-31 19:08:22.001000+09:00	2026-07-31 20:10:11.999000+09:00	61.8333	127.1097369079352	36.81985039996897	5	3_venue_005	unknown	965194.1001194302	1869144.1140823248
3	3_stay_0006	2026-07-31 20:14:37.999000+09:00	2026-08-01 03:22:51.351000+09:00	428.22253333333333	127.106856194273	36.82054832352503	2	3_venue_002	unknown	964937.4987959433	1869222.5878311065
3	3_stay_0007	2026-08-03 12:54:05.472000+09:00	2026-08-03 13:41:52+09:00	47.77546666666667	127.10734295601824	36.801362761190816	4	3_venue_004	unknown	964972.1714752925	1867094.146262643
3	3_stay_0008	2026-08-03 13:42:43.500000+09:00	2026-08-03 15:56:36.962000+09:00	133.89103333333335	127.1069312941742	36.80086417161577	3	3_venue_003	unknown	964935.2208170402	1867038.9884279487
4	4_stay_0001	2026-07-29 01:14:57.827000+09:00	2026-07-29 09:12:43.143000+09:00	477.75526666666667	127.07554683576025	37.623115033261854	3	4_venue_003	unknown	962544.1497175645	1958269.8674414589
4	4_stay_0002	2026-07-29 09:36:19+09:00	2026-07-29 12:39:27.375000+09:00	183.13958333333332	127.0792985086572	37.63231276964448	2	4_venue_002	unknown	962879.7921011376	1959288.8271926048
4	4_stay_0003	2026-07-29 13:16:36+09:00	2026-07-29 18:06:37+09:00	290.01666666666665	127.0695168654153	37.62924519298254	10	4_venue_010	unknown	962015.1524161346	1958952.4066438475
4	4_stay_0004	2026-07-29 18:17:51+09:00	2026-07-29 19:01:19+09:00	43.46666666666667	127.07595735690595	37.630464827371185	9	4_venue_009	unknown	962584.0608005442	1959085.1325624927
4	4_stay_0005	2026-07-29 19:23:56+09:00	2026-07-29 22:43:38+09:00	199.7	127.0791764733552	37.63273651990999	2	4_venue_002	unknown	962869.2352223363	1959335.8888337743
4	4_stay_0006	2026-07-29 23:14:06+09:00	2026-07-30 09:20:36.500000+09:00	606.5083333333333	127.0754961950025	37.62304711423644	3	4_venue_003	unknown	962539.646822816	1958262.352325919
4	4_stay_0007	2026-07-30 09:33:41.500000+09:00	2026-07-30 11:57:44.500000+09:00	144.05	127.0756098798859	37.62968289664312	8	4_venue_008	unknown	962553.0082450596	1958998.5191794403
4	4_stay_0008	2026-07-30 12:04:46+09:00	2026-07-30 13:39:40.500000+09:00	94.90833333333333	127.0775673423258	37.62708012025652	1	4_venue_001	unknown	962724.4301578475	1958708.9726497
4	4_stay_0009	2026-07-30 13:59:13+09:00	2026-07-30 15:12:44.500000+09:00	73.525	127.07910882678854	37.632645393221786	2	4_venue_002	unknown	962863.2211473475	1959325.8054708599
4	4_stay_0010	2026-07-30 15:28:29+09:00	2026-07-30 18:04:06+09:00	155.61666666666667	127.0792686725641	37.63236919863448	2	4_venue_002	unknown	962877.1875996427	1959295.0995612778
4	4_stay_0011	2026-07-30 18:31:45.500000+09:00	2026-07-31 13:03:44.745000+09:00	1111.9874166666666	127.0778199359094	37.62671111002377	1	4_venue_001	unknown	962746.5350117327	1958667.9322109607
4	4_stay_0012	2026-07-31 13:21:10+09:00	2026-07-31 15:19:11+09:00	118.01666666666667	127.0798618359913	37.63246611016584	7	4_venue_007	unknown	962929.5731701149	1959305.6169959821
4	4_stay_0013	2026-07-31 15:19:11+09:00	2026-07-31 16:33:50.750000+09:00	74.6625	127.0792275073839	37.632265931517225	2	4_venue_002	unknown	962873.5040383096	1959283.658784258
